Domaine,Zone,Élément,Produit,Année,Valeur
"Cultures et produits animaux","Guyana","Exportations - Quantité","Viande de Volailles","2013","1"
"Cultures et produits animaux","Haïti","Exportations - Quantité","Viande de Volailles","2013",""
"Cultures et produits animaux","Honduras","Exportations - Quantité","Viande de Volailles","2013","3372"
"Cultures et produits animaux","Hongrie","Exportations - Quantité","Viande de Volailles","2013","210051"
"Cultures et produits animaux","Îles Salomon","Exportations - Quantité","Viande de Volailles","2013","1"
"Cultures et produits animaux","Inde","Exportations - Quantité","Viande de Volailles","2013","6487"
"Cultures et produits animaux","Indonésie","Exportations - Quantité","Viande de Volailles","2013","3"
"Cultures et produits animaux","Iran (République islamique d')","Exportations - Quantité","Viande de Volailles","2013","33846"
"Cultures et produits animaux","Irlande","Exportations - Quantité","Viande de Volailles","2013","103259"
"Cultures et produits animaux","Islande","Exportations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Israël","Exportations - Quantité","Viande de Volailles","2013","9866"
"Cultures et produits animaux","Italie","Exportations - Quantité","Viande de Volailles","2013","169528"
"Cultures et produits animaux","Jamaïque","Exportations - Quantité","Viande de Volailles","2013","722"
"Cultures et produits animaux","Japon","Exportations - Quantité","Viande de Volailles","2013","9028"
"Cultures et produits animaux","Jordanie","Exportations - Quantité","Viande de Volailles","2013","24225"
"Cultures et produits animaux","Kazakhstan","Exportations - Quantité","Viande de Volailles","2013","2699"
"Cultures et produits animaux","Kenya","Exportations - Quantité","Viande de Volailles","2013","49"
"Cultures et produits animaux","Kirghizistan","Exportations - Quantité","Viande de Volailles","2013","2"
"Cultures et produits animaux","Koweït","Exportations - Quantité","Viande de Volailles","2013","2539"
"Cultures et produits animaux","Lesotho","Exportations - Quantité","Viande de Volailles","2013",""
"Cultures et produits animaux","Lettonie","Exportations - Quantité","Viande de Volailles","2013","13539"
"Cultures et produits animaux","l'ex-République yougoslave de Macédoine","Exportations - Quantité","Viande de Volailles","2013","446"
"Cultures et produits animaux","Liban","Exportations - Quantité","Viande de Volailles","2013","6350"
"Cultures et produits animaux","Libye","Exportations - Quantité","Viande de Volailles","2013","29"
"Cultures et produits animaux","Lituanie","Exportations - Quantité","Viande de Volailles","2013","45352"
"Cultures et produits animaux","Luxembourg","Exportations - Quantité","Viande de Volailles","2013","668"
"Cultures et produits animaux","Madagascar","Exportations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Malaisie","Exportations - Quantité","Viande de Volailles","2013","31579"
"Cultures et produits animaux","Malawi","Exportations - Quantité","Viande de Volailles","2013","584"
"Cultures et produits animaux","Mali","Exportations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Malte","Exportations - Quantité","Viande de Volailles","2013","42"
"Cultures et produits animaux","Maroc","Exportations - Quantité","Viande de Volailles","2013","2385"
"Cultures et produits animaux","Maurice","Exportations - Quantité","Viande de Volailles","2013","46"
