Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Costa Rica","Population totale","Population","2008","4533"
"Bilans Alimentaires","Costa Rica","Population totale","Population","2013","4872"
"Bilans Alimentaires","Côte d'Ivoire","Population totale","Population","2008","18260"
"Bilans Alimentaires","Côte d'Ivoire","Population totale","Population","2013","20316"
"Bilans Alimentaires","Croatie","Population totale","Population","2008","4360"
"Bilans Alimentaires","Croatie","Population totale","Population","2013","4290"
"Bilans Alimentaires","Cuba","Population totale","Population","2008","11296"
"Bilans Alimentaires","Cuba","Population totale","Population","2013","11266"
"Bilans Alimentaires","Danemark","Population totale","Population","2008","5496"
"Bilans Alimentaires","Danemark","Population totale","Population","2013","5619"
"Bilans Alimentaires","Djibouti","Population totale","Population","2008","810"
"Bilans Alimentaires","Djibouti","Population totale","Population","2013","873"
"Bilans Alimentaires","Dominique","Population totale","Population","2008","71"
"Bilans Alimentaires","Dominique","Population totale","Population","2013","72"
"Bilans Alimentaires","Égypte","Population totale","Population","2008","75492"
"Bilans Alimentaires","Égypte","Population totale","Population","2013","82056"
"Bilans Alimentaires","El Salvador","Population totale","Population","2008","6152"
"Bilans Alimentaires","El Salvador","Population totale","Population","2013","6340"
"Bilans Alimentaires","Émirats arabes unis","Population totale","Population","2008","6799"
"Bilans Alimentaires","Émirats arabes unis","Population totale","Population","2013","9346"
"Bilans Alimentaires","Équateur","Population totale","Population","2008","14512"
"Bilans Alimentaires","Équateur","Population totale","Population","2013","15738"
"Bilans Alimentaires","Espagne","Population totale","Population","2008","45243"
"Bilans Alimentaires","Espagne","Population totale","Population","2013","46927"
"Bilans Alimentaires","Estonie","Population totale","Population","2008","1308"
"Bilans Alimentaires","Estonie","Population totale","Population","2013","1287"
"Bilans Alimentaires","États-Unis d'Amérique","Population totale","Population","2008","306657"
"Bilans Alimentaires","États-Unis d'Amérique","Population totale","Population","2013","320051"
"Bilans Alimentaires","Éthiopie","Population totale","Population","2008","82621"
"Bilans Alimentaires","Éthiopie","Population totale","Population","2013","94101"
"Bilans Alimentaires","Fédération de Russie","Population totale","Population","2008","143677"
"Bilans Alimentaires","Fédération de Russie","Population totale","Population","2013","142834"
"Bilans Alimentaires","Fidji","Population totale","Population","2008","844"
"Bilans Alimentaires","Fidji","Population totale","Population","2013","881"
"Bilans Alimentaires","Finlande","Population totale","Population","2008","5318"
"Bilans Alimentaires","Finlande","Population totale","Population","2013","5426"
"Bilans Alimentaires","France","Population totale","Population","2008","62553"
"Bilans Alimentaires","France","Population totale","Population","2013","64291"
"Bilans Alimentaires","Gabon","Population totale","Population","2008","1483"
"Bilans Alimentaires","Gabon","Population totale","Population","2013","1672"
"Bilans Alimentaires","Gambie","Population totale","Population","2008","1578"
"Bilans Alimentaires","Gambie","Population totale","Population","2013","1849"
"Bilans Alimentaires","Géorgie","Population totale","Population","2008","4413"
"Bilans Alimentaires","Géorgie","Population totale","Population","2013","4341"
"Bilans Alimentaires","Ghana","Population totale","Population","2008","23110"
"Bilans Alimentaires","Ghana","Population totale","Population","2013","25905"
"Bilans Alimentaires","Grèce","Population totale","Population","2008","11083"
"Bilans Alimentaires","Grèce","Population totale","Population","2013","11128"
"Bilans Alimentaires","Grenade","Population totale","Population","2008","104"
"Bilans Alimentaires","Grenade","Population totale","Population","2013","106"
"Bilans Alimentaires","Guatemala","Population totale","Population","2008","13648"
"Bilans Alimentaires","Guatemala","Population totale","Population","2013","15468"
"Bilans Alimentaires","Guinée","Population totale","Population","2008","10315"
"Bilans Alimentaires","Guinée","Population totale","Population","2013","11745"
