"Iran (République islamique d')","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3094"
"Iraq","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2545"
"Irlande","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3600"
"Islande","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3380"
"Israël","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3610"
"Italie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3579"
"Jamaïque","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2746"
"Japon","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2726"
"Jordanie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3100"
"Kazakhstan","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3264"
"Kenya","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2206"
"Kirghizistan","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2817"
"Kiribati","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3040"
"Koweït","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3501"
"Lesotho","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2529"
"Lettonie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3174"
"Liban","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3066"
"Libéria","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2204"
"Lituanie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3417"
"Luxembourg","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3539"
"Madagascar","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2052"
"Malaisie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2916"
"Malawi","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2367"
"Maldives","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2732"
"Mali","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2890"
"Malte","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3378"
"Maroc","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3403"
"Maurice","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3065"
"Mauritanie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2876"
"Mexique","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3072"
"Mongolie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2510"
"Monténégro","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3491"
"Mozambique","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2283"
"Myanmar","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2571"
"Namibie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2171"
"Nicaragua","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2638"
"Niger","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2547"
"Nigéria","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2700"
"Norvège","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3485"
"Nouvelle-Calédonie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2853"
"Nouvelle-Zélande","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3137"
"Népal","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2673"
"Oman","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3143"
"Ouganda","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2130"
"Ouzbékistan","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2760"
"Pakistan","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2440"
"Panama","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2733"
"Paraguay","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2589"
"Pays-Bas","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3228"
"Philippines","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2570"
"Pologne","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3451"
"Polynésie française","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2927"
"Portugal","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3477"
"Pérou","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2700"
"Roumanie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3358"
"Royaume-Uni","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3424"
"Rwanda","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2228"
"République centrafricaine","Disponibilité alimentaire (Kcal/personne/jour)","Total General","1879"
"République de Corée","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3334"
"République de Moldova","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2714"
"République dominicaine","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2614"
"République démocratique populaire lao","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2451"
"République populaire démocratique de Corée","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2094"
"République-Unie de Tanzanie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2208"
"Saint-Kitts-et-Nevis","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2492"
"Saint-Vincent-et-les Grenadines","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2968"
"Sainte-Lucie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2595"
"Samoa","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2960"
"Sao Tomé-et-Principe","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2400"
"Serbie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2728"
"Sierra Leone","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2404"
"Slovaquie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2944"
"Slovénie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3168"
"Soudan","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2336"
"Sri Lanka","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2539"
"Suisse","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3391"
"Suriname","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2753"
"Suède","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3179"
"Sénégal","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2456"
"Tadjikistan","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2201"
"Tchad","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2110"
"Tchéquie (la)","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3256"
"Thaïlande","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2784"
"Timor-Leste","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2131"
"Togo","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2454"
"Trinité-et-Tobago","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3052"
"Tunisie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3349"
"Turkménistan","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2840"
"Turquie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3706"
"Ukraine","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3138"
"Uruguay","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3050"
"Vanuatu","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2836"
"Venezuela (République bolivarienne du)","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2631"
"Viet Nam","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2745"
"Yémen","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2223"
"Zambie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","1930"
"Zimbabwe","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2110"
"l'ex-République yougoslave de Macédoine","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2949"
"Égypte","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3522"
"Émirats arabes unis","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3280"
"Équateur","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2344"
"États-Unis d'Amérique","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3682"
"Éthiopie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2131"
"Îles Salomon","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2391"
"","","",""
"","","",""
