Domaine,Zone,Élément,Produit,Année,Valeur
"Élevage primaire","Jamaïque","Production","Viande, volaille","2013","103820"
"Élevage primaire","Japon","Production","Viande, volaille","2013","2078646"
"Élevage primaire","Jordanie","Production","Viande, volaille","2013","182264"
"Élevage primaire","Kazakhstan","Production","Viande, volaille","2013","129725"
"Élevage primaire","Kenya","Production","Viande, volaille","2013","23754"
"Élevage primaire","Kirghizistan","Production","Viande, volaille","2013","6200"
"Élevage primaire","Kiribati","Production","Viande, volaille","2013","815"
"Élevage primaire","Koweït","Production","Viande, volaille","2013","46216"
"Élevage primaire","Lesotho","Production","Viande, volaille","2013","1600"
"Élevage primaire","Lettonie","Production","Viande, volaille","2013","26830"
"Élevage primaire","l'ex-République yougoslave de Macédoine","Production","Viande, volaille","2013","1801"
"Élevage primaire","Liban","Production","Viande, volaille","2013","85106"
"Élevage primaire","Libéria","Production","Viande, volaille","2013","12056"
"Élevage primaire","Libye","Production","Viande, volaille","2013","125000"
"Élevage primaire","Lituanie","Production","Viande, volaille","2013","87489"
"Élevage primaire","Luxembourg","Production","Viande, volaille","2013","244"
"Élevage primaire","Madagascar","Production","Viande, volaille","2013","38400"
"Élevage primaire","Malaisie","Production","Viande, volaille","2013","1297703"
"Élevage primaire","Malawi","Production","Viande, volaille","2013","77711"
"Élevage primaire","Mali","Production","Viande, volaille","2013","44136"
"Élevage primaire","Malte","Production","Viande, volaille","2013","4115"
"Élevage primaire","Maroc","Production","Viande, volaille","2013","560000"
"Élevage primaire","Martinique","Production","Viande, volaille","2013","1580"
"Élevage primaire","Maurice","Production","Viande, volaille","2013","46800"
"Élevage primaire","Mauritanie","Production","Viande, volaille","2013","4640"
"Élevage primaire","Mexique","Production","Viande, volaille","2013","2808032"
"Élevage primaire","Micronésie (États fédérés de)","Production","Viande, volaille","2013","161"
"Élevage primaire","Mongolie","Production","Viande, volaille","2013","123"
"Élevage primaire","Monténégro","Production","Viande, volaille","2013","3350"
"Élevage primaire","Montserrat","Production","Viande, volaille","2013","85"
"Élevage primaire","Mozambique","Production","Viande, volaille","2013","55633"
"Élevage primaire","Myanmar","Production","Viande, volaille","2013","1250913"
"Élevage primaire","Namibie","Production","Viande, volaille","2013","12480"
"Élevage primaire","Nauru","Production","Viande, volaille","2013","4"
"Élevage primaire","Népal","Production","Viande, volaille","2013","42810"
"Élevage primaire","Nicaragua","Production","Viande, volaille","2013","123374"
"Élevage primaire","Niger","Production","Viande, volaille","2013","17200"
"Élevage primaire","Nigéria","Production","Viande, volaille","2013","193021"
"Élevage primaire","Nioué","Production","Viande, volaille","2013","23"
"Élevage primaire","Norvège","Production","Viande, volaille","2013","93580"
"Élevage primaire","Nouvelle-Calédonie","Production","Viande, volaille","2013","778"
"Élevage primaire","Nouvelle-Zélande","Production","Viande, volaille","2013","167607"
"Élevage primaire","Oman","Production","Viande, volaille","2013","6144"
"Élevage primaire","Ouganda","Production","Viande, volaille","2013","64500"
"Élevage primaire","Ouzbékistan","Production","Viande, volaille","2013","45000"
"Élevage primaire","Pakistan","Production","Viande, volaille","2013","907000"
"Élevage primaire","Panama","Production","Viande, volaille","2013","156124"
"Élevage primaire","Papouasie-Nouvelle-Guinée","Production","Viande, volaille","2013","6277"
"Élevage primaire","Paraguay","Production","Viande, volaille","2013","40000"
"Élevage primaire","Pays-Bas","Production","Viande, volaille","2013","920794"
"Élevage primaire","Pérou","Production","Viande, volaille","2013","1254348"
"Élevage primaire","Philippines","Production","Viande, volaille","2013","1087425"
"Élevage primaire","Pologne","Production","Viande, volaille","2013","1517300"
"Élevage primaire","Polynésie française","Production","Viande, volaille","2013","611"
"Élevage primaire","Porto Rico","Production","Viande, volaille","2013","43566"
"Élevage primaire","Portugal","Production","Viande, volaille","2013","272533"
"Élevage primaire","Qatar","Production","Viande, volaille","2013","10000"
"Élevage primaire","République arabe syrienne","Production","Viande, volaille","2013","107519"
"Élevage primaire","République centrafricaine","Production","Viande, volaille","2013","6000"
