Clusters,prot en gr/hab/jour,Kcal/hab/j,DeltaPop%,RapportProtAnim,PIBh,Poulets(kg/hab)
1,59.66244897959184,2401.6530612244896,2.4910204081632656,23.431020408163274,3442.7612244897973,5.946734693877553
2,100.37,3308.0,6.81,47.04333333333333,59232.56666666667,41.93
3,104.34862068965518,3248.206896551724,0.6851724137931033,58.944482758620694,38767.23793103448,27.401379310344826
4,81.28454545454545,2746.818181818182,0.7145454545454546,58.275454545454544,15924.390909090907,66.88272727272727
5,79.15859999999999,2819.88,1.1820000000000004,42.60519999999999,11554.006000000001,20.805199999999996
